Order,Beta,Book Value Per Share,Cash Flow,Current Ratio,D/E Ratio,Date,Difference,Diluted EPS,EBITDA,Earnings Growth,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Gross Profit,Held by Insiders,Held by Institutions,Market Cap,Net Income Avl to Common ,Operating Margin,PEG Ratio,Price,Price/Book,Price/Sales,Profit Margin,Return on Assets,Return on Equity,Revenue,Revenue Growth,Revenue Per Share,SP500,Shares Short (as of,Short % of Float,Short Ratio,Status,Ticker,Total Cash,Total Cash Per Share,Total Debt,Trailing P/E,Unix,sp500_p_change,stock_p_change
169,1.583,9.057,30423000,2.688,2.688,4/11/2004 4:03,1.166706496,2.073,8.14,15.6,2700000000,8.14,1.58,12.85,65605000,0.48,87.25,3220000000,20510000,19.42,0.85,33.4,3.99,2.04,12.01,18.74,25.6,1.58,16.9,17.195,1139.319946,521000,5.42,2.417,outperform,anf,52107000,5.4,2.688,16.11,1081670594,10.62970069,11.79640719
170,1.602,10.298,28190000,2.688,2.688,6/7/2004 20:30,9.920628673,2.073,7.35,5.2,2930000000,7.35,1.71,13.8,71740000,0.37,92.22,3510000000,20510000,19.42,0.91,37.13,3.54,2.02,12.01,18.74,25.6,1.71,7,17.195,1140.420044,339000,3.6,2.106,outperform,anf,52107000,5.52,2.688,17.91,1086654650,10.73652188,20.65715055
171,1.587,9.371,33651000,2.946,2.946,8/10/2004 3:04,7.230738479,2.123,6.27,5.2,2560000000,6.27,1.45,12.26,71740000,0.41,88.92,3180000000,20923000,19.1,0.8,33.48,3.49,1.75,11.8,18.55,25.24,1.45,7,17.986,1079.040039,348000,3.68,2.506,outperform,anf,53736000,5.66,2.946,15.77,1092121456,4.77642998,12.00716846
172,1.56,9.774,34130000,2.617,2.617,10/12/2004 5:47,12.04402682,2.214,6.78,5.2,2880000000,6.78,1.58,14.02,71740000,0.38,95,3530000000,21726000,19.34,0.91,37.28,3.74,1.9,11.95,18.3,25.3,1.58,7,18.569,1121.839966,396000,4.21,1.937,outperform,anf,58215000,6.16,2.617,16.84,1097574439,8.932368029,20.97639485
173,1.865,8.74,36459000,1.958,1.958,1/28/2005 5:22,27.0549827,2.126,9.55,5.2,3890000000,9.55,2.05,17.34,71740000,7.06,95,4340000000,20690000,17.56,1.15,49.76,5.69,2.29,10.92,16.98,24.01,2.05,7,19.529,1171.359985,376000,4.65,2.112,outperform,anf,44341000,5.09,1.958,23.41,1106907747,13.74083724,40.79581994
174,1.798,7.349,36459000,1.597,1.597,2/27/2005 8:07,29.13458336,2.29,12.52,5.2,4380000000,12.52,2.16,15.86,71740000,7.06,95,4730000000,21749000,17.29,1.06,54.23,7.37,2.34,10.76,16.79,27.08,2.16,7,21.252,1200.199951,334000,4.12,1.829,outperform,anf,35037000,4.02,1.597,23.7,1109509622,16.54124183,45.67582519
175,1.66,21.7,5540000000,2.23,1.39,10/23/2011 13:43,39.28812767,2.2,9.38,64.4,5540000000,9.38,1.46,14.82,2210000000,1.31,98.4,5540000000,19901000,9.45,1.2,69,3.21,1.6,5.27,7.74,10.74,1.46,22.9,43.24,1215.390015,599000,8,2.4,outperform,anf,53961000,6.21,2629000,31.62,1319391804,18.01622016,57.30434783
176,1.64,21.7,4420000000,2.23,1.39,11/15/2011 5:16,26.18051848,2.2,7.48,64.4,4420000000,7.48,1.17,12.75,2210000000,1.31,98.4,4420000000,19901000,9.45,1.02,57,2.62,1.3,5.27,7.74,10.74,1.17,22.9,43.24,1257.810059,667000,8.9,3.2,outperform,anf,53961000,6.21,2629000,25.99,1321352186,22.13527099,48.31578947
177,1.5,22.16,40372000,2.06,1.36,12/27/2011 6:24,15.7498159,2.23,6.24,1.7,3710000000,6.24,0.93,11.42,2210000000,1.31,98.4,3710000000,19988000,9.03,0.9,48,2.23,1.07,5.04,7.48,10.58,0.93,21.5,45.58,1265.430054,550000,7.4,1.2,outperform,anf,48834000,5.68,2632000,21.8,1324985054,22.8751841,38.625
178,2.21,20.51,33088000,2.04,3.88,6/10/2012 8:21,-19.75002931,1.19,4.69,88.1,2360000000,4.69,0.56,7.53,2520000000,1.43,92.8,2360000000,10550000,6.43,0.49,32,1.57,0.63,2.49,6.06,5.86,0.56,10.1,49.23,1314.98999,542000,7.6,2.1,underperform,anf,35952000,4.36,6571000,27.03,1339330885,27.68752931,7.9375
179,2.17,20.54,34604000,1.78,8.13,10/14/2012 7:23,-31.19344134,1.03,5.33,51.6,2530000000,5.33,0.59,10.84,2520000000,1.4,93.8,2530000000,8899000,5.81,0.77,32,1.63,0.65,2.08,5.36,4.97,0.59,3.8,50.32,1432.839966,979000,13.8,3.8,underperform,anf,33226000,4.02,13783000,31.85,1350213803,39.13094134,7.9375
180,2.21,20.54,34604000,1.78,8.13,11/7/2012 15:11,-22.05804698,1.03,5.52,51.6,2620000000,5.52,0.61,11.3,2520000000,1.4,93.8,2620000000,8899000,5.81,0.8,34,1.66,0.66,2.08,5.36,4.97,0.61,3.8,50.32,1394.530029,1010000,14.2,4.7,underperform,anf,33226000,4.02,13783000,32.99,1352319060,35.41098815,13.35294118
181,1.54,13.52,18671000,3.412,3.412,9/23/2004 14:25,-42.61564848,1.694,5.85,25.9,1540000000,5.85,0.88,12.25,86624000,1.22,95,1820000000,12382000,11.94,0.85,25.48,1.9,1.05,7.07,10.72,14.64,0.88,15,23.475,1108.359985,145000,2.05,1.122,underperform,ann,34720000,4.86,3.412,15.04,1095963910,7.215334509,-35.40031397
182,1.586,13.52,18671000,3.412,3.412,10/13/2004 23:19,-63.97705751,1.694,4.71,25.9,1240000000,4.71,0.71,11.94,86624000,2.06,95,1580000000,12382000,11.94,0.8,22.08,1.65,0.91,7.07,10.72,14.64,0.71,15,23.475,1113.650024,221000,3.16,1.531,underperform,ann,34720000,4.86,3.412,13.03,1097723969,7.727057513,-56.25
183,1.706,13.402,9670000,3.2,3.2,2/7/2005 11:27,-66.83561769,1.47,6.01,25.9,1430000000,6.01,0.79,19.42,86624000,2.08,90.23,1620000000,10776000,9.98,1.29,22.91,1.63,0.85,5.94,9.16,12.17,0.79,15,24.529,1201.719971,426000,6.17,3.547,underperform,ann,18873000,2.67,3.2,15.54,1107793646,16.24635535,-50.58926233
184,1.523,13.121,16926000,2.41,2.41,4/19/2005 8:16,-56.16632063,0.83,7.92,37.3,1450000000,7.92,0.78,16.22,94755000,0.81,89.84,1710000000,6328000,5.66,1.05,23.85,1.82,0.92,3.41,5.14,6.65,0.78,16.7,25.415,1152.780029,564000,7.93,3.762,underperform,ann,25481000,3.55,2.41,28.77,1113912987,11.51223258,-44.65408805
185,0.51,25.71,18880000000,1.14,53.53,8/18/2011 9:21,0,2.67,9.41,68.6,18880000000,9.41,1.84,12.02,8510000000,4.11,86,18880000000,87600000,14.84,1.53,46,1.81,1.47,8.55,3.5,13.01,1.84,48.1,31.71,1140.650024,264000,0.8,1.5,underperform,aon,81500000,2.5,4530000000,17.41,1313673676,0,0
186,0.73,25.47,1410000000,1.14,55.3,12/21/2011 15:02,-9.036071085,2.72,8.41,37.5,18480000000,8.41,1.65,12.67,8510000000,4.11,86,18480000000,93000000,14.6,1.43,46,1.8,1.32,8.33,3.92,13.71,1.65,51.2,33.17,1243.719971,478000,1.5,1.8,underperform,aon,90200000,2.79,4580000000,16.98,1324497725,9.036071085,0
187,0.73,25.47,1410000000,1.14,55.3,12/28/2011 18:42,-9.555077255,2.72,8.6,37.5,18910000000,8.6,1.69,12.89,8510000000,4.11,86,18910000000,93000000,14.6,1.49,46,1.85,1.36,8.33,3.92,13.71,1.69,51.2,33.17,1249.640015,478000,1.5,1.8,underperform,aon,90200000,2.79,4580000000,17.27,1325115722,9.555077255,0
188,0.73,25.47,1410000000,1.14,55.3,1/28/2012 5:43,-12.08810308,2.72,8.75,37.5,19240000000,8.75,1.72,13.23,8510000000,4.28,87.2,19240000000,93000000,14.6,1.54,48,1.87,1.38,8.33,3.92,13.71,1.72,51.2,33.17,1326.060059,346000,1.1,1.9,underperform,aon,90200000,2.79,4580000000,17.72,1327747401,16.25476975,4.166666667
189,0.73,25.47,1410000000,1.14,55.3,1/28/2012 14:58,-12.08810308,2.72,8.75,37.5,19240000000,8.75,1.72,13.26,8510000000,4.28,87.2,19240000000,93000000,14.6,1.55,48,1.87,1.38,8.33,3.92,13.71,1.72,51.2,33.17,1326.060059,346000,1.1,1.9,underperform,aon,90200000,2.79,4580000000,17.72,1327780727,16.25476975,4.166666667
190,0.431,21.131001,2710000000,1.08,0.319,5/12/2004 19:41,0,3.451,4.82,102.4,15520000000,4.82,3.55,13.43,3430000000,16,80.74,13060000000,1130000000,44.71,1.43,40.16,1.93,3.04,25.88,9.4,18.16,3.55,63.7,13.406,1097.280029,406000,1.49,1.697,underperform,apa,6115000,0.19,2190000000,11.64,1084405263,0,0
191,0.446,22.011999,2780000000,1.187,0.301,9/19/2004 14:30,13.90891534,3.835,5.4,102.4,17830000000,5.4,3.91,10.98,3430000000,16.01,77.02,15640000000,1260000000,44.2,0.84,47.98,2.13,3.35,27.65,10.07,19.32,3.91,63.7,13.943,1123.5,250000,0.91,1.427,outperform,apa,9748000,0.3,2190000000,12.51,1095618616,2.389542351,16.29845769
192,0.442,22.011999,2780000000,1.187,0.301,10/27/2004 4:46,23.13572741,3.835,5.91,102.4,19520000000,5.91,4.28,10.22,3430000000,16.01,77.52,17620000000,1260000000,44.2,0.87,54.05,2.42,3.8,27.65,10.07,19.32,4.28,63.7,13.943,1125.400024,322000,1.18,1.705,outperform,apa,9748000,0.3,2190000000,14.09,1098866809,2.562699972,25.69842738
193,1.52,69.46,9100000000,1.14,25.81,12/30/2011 22:31,40.76710933,10.28,3.46,28.8,41270000000,3.46,2.6,7.33,9880000000,0.48,86.4,41270000000,4010000000,49.31,0.69,90,1.3,2.18,25.76,11.58,16.39,2.6,43.4,41.51,1257.599976,399000,1,1.3,outperform,apa,58600000,1.53,7200000000,8.81,1325302264,14.61066845,55.37777778
194,1.69,74.09,9980000000,1.05,26.5,6/7/2012 9:06,31.77358264,10.6,3.09,29.7,40400000000,3.09,2.34,6.41,13990000000,0.39,85.4,40400000000,4170000000,49.36,0.78,83,1.13,1.89,24.59,10.86,15.47,2.34,15.5,44.93,1314.98999,484000,1.3,1.5,outperform,apa,24500000,0.63,7870000000,7.88,1339074404,19.84087519,51.61445783
195,1.79,76.87,8500000000,0.9,39.4,4/23/2013 5:22,-2.084130987,4.92,3.17,43.8,39250000000,3.17,2.33,6.99,13810000000,0.41,83.6,39250000000,1920000000,41.43,1.17,69,0.9,1.6,11.89,7.73,6.63,2.33,1.6,43.28,1578.780029,604000,1.5,1.8,underperform,apa,16000000,0.41,12340000000,14.07,1366708952,43.88123244,41.79710145
196,1.78,76.87,8500000000,0.9,39.4,5/10/2013 3:19,1.533424362,4.92,3.37,43.8,41760000000,3.37,2.48,8.27,13810000000,0.41,83.6,41760000000,1920000000,41.43,1.25,81,1.01,1.81,11.89,7.73,6.63,2.48,1.6,43.28,1633.699951,644000,1.7,2,outperform,apa,16000000,0.41,12340000000,16.56,1368170355,48.88632872,50.41975309
197,0.623,37.334,3500000000,0.598,0.475,1/23/2005 1:45,20.57722123,5.89,4.99,55.5,20430000000,4.99,3.56,9.41,4290000000,2,78.2,16010000000,1490000000,46.26,1.03,63.9,1.71,2.79,26.03,7.12,16.99,3.56,32.7,22.677,1175.410034,672000,2.74,3.121,outperform,apc,15400000,0.61,4480000000,10.85,1106462743,13.99241883,34.56964006
198,0.611,38.053001,3500000000,1.206,0.395,3/6/2005 5:42,31.22486063,6.37,5.38,55.5,23280000000,5.38,3.84,12.73,4290000000,2,78.13,20390000000,1600000000,47.49,1.51,81.37,2.08,3.26,26.47,7.67,17.77,3.84,32.7,24.099,1210.469971,605000,2.46,3.304,outperform,apc,87400000,3.49,3670000000,12.78,1110105738,17.39256594,48.61742657
199,1.47,42.03,46780000000,1.65,60.68,5/13/2011 21:22,13.76175036,0.52,8.52,69.8,46780000000,8.52,4.28,17.98,8720000000,0.33,86.3,46780000000,26000000,14.93,1.28,74,1.77,3.38,2.39,1.99,1.54,4.28,3,22.05,1337.77002,450000,0.9,1.4,outperform,apc,3460000000,6.96,13220000000,141.34,1305336128,29.73824964,43.5
